年/週,情緒分數,重大新聞摘要
2021/1/11-1/17,55,美國1.9兆美元紓困案規劃公布，聯準會維持寬鬆，歐洲疫情惡化。
2021/1/18-1/24,58,拜登就職美國總統，宣示加強防疫與經濟復甦。美科技巨頭財報優於預期。
2021/1/25-1/31,52,GameStop等迷因股爆發散戶軋空潮，市場劇烈波動。美聯準會重申低利率與QE。
2021/2/1-2/7,55,美國參議院啟動預算協調，推動紓困案進展。歐洲多國疫苗配送延遲。
2021/2/8-2/14,58,拜登推動1.9兆美元紓困案，美債殖利率上升，市場開始擔憂通膨。
2021/2/15-2/21,60,美國2月零售銷售大增，消費信心回升。美股創新高。
2021/2/22-2/28,55,美國10年債殖利率急升至1.6%，科技股回檔。聯準會重申不急於升息。
2021/3/1-3/7,58,美國眾議院通過1.9兆美元紓困案，等待參議院審議。OPEC+維持原油減產協議，油價續漲。
2021/3/8-3/14,62,美國通過1.9兆美元紓困案，聯準會維持寬鬆，科技股領漲；比特幣創新高。
2021/3/15-3/21,60,聯準會維持寬鬆政策，預期通膨短期上升但不升息。歐洲部分國家暫停AZ疫苗接種。
2021/3/22-3/28,58,美國10年債殖利率續升，成長股承壓。歐洲疫情反彈，法國、德國收緊防疫措施。
2021/3/29-4/4,62,拜登宣布2兆美元基建計畫。美國就業數據強勁，失業率降至6%。
2021/4/5-4/11,65,"美國3月非農新增91.6萬人，失業率降至6%；S&P 500首次突破4,000點。"
2021/4/12-4/18,60,美國3月CPI年增2.6%，通膨壓力升溫。美大型銀行財報優於預期。
2021/4/19-4/25,62,拜登提出加稅計畫，市場短線震盪。美科技股財報公布。
2021/4/26-5/2,65,科技巨頭（蘋果、微軟、亞馬遜）財報亮眼，美GDP季增6.4%。印度疫情爆發，全球關注供應鏈風險。
2021/5/3-5/9,60,聯準會維持利率不變，強調就業復甦尚未完成。美4月非農新增26.6萬人，低於預期。
2021/5/10-5/16,55,美國4月CPI年增4.2%，通膨壓力升溫，科技股回檔；以色列與哈馬斯爆發衝突。
2021/5/17-5/23,57,美國CDC宣布已接種疫苗者可不戴口罩，經濟重啟預期增強。比特幣價格劇烈波動。
2021/5/24-5/30,58,聯準會官員釋放縮減QE討論訊號，市場波動加劇。美零售商財報優於預期。
2021/5/31-6/6,60,美國5月非農新增55.9萬人，失業率降至5.8%。拜登與共和黨協商基建案進展緩慢。
2021/6/7-6/13,62,G7峰會聚焦疫苗分配與全球稅改；美國5月CPI年增5%。
2021/6/14-6/20,60,聯準會會議釋出縮減QE預期，美元走強，股市短線震盪。科技股回檔。
2021/6/21-6/27,62,美國6月PMI創歷史新高，經濟復甦強勁。比特幣價格再度大跌。
2021/6/28-7/4,65,美國6月非農新增85萬人，失業率降至5.9%。OPEC+協議破局，油價劇烈波動。
2021/7/5-7/11,67,科技股創新高，資金持續流入成長板塊。美10年債殖利率下滑。
