時間段開始,時間段結束,準確率,精確率,召回率,F1分數,實際上漲比例,預測上漲比例,測試樣本數
2016-09-05,2016-10-04,0.65,0.6153846153846154,0.8,0.6956521739130435,0.5,0.65,20
2016-10-05,2016-11-02,0.7,0.6666666666666666,0.8,0.7272727272727273,0.5,0.6,20
2016-11-03,2016-11-30,0.55,0.25,0.14285714285714285,0.18181818181818182,0.35,0.2,20
2016-12-01,2016-12-28,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.45,0.45,20
2016-12-29,2017-02-03,0.7,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.45,0.65,20
2017-02-06,2017-03-07,0.6,1.0,0.1111111111111111,0.2,0.45,0.05,20
2017-03-08,2017-04-06,0.6,0.5,0.125,0.2,0.4,0.1,20
2017-04-07,2017-05-05,0.5,1.0,0.09090909090909091,0.16666666666666666,0.55,0.05,20
2017-05-08,2017-06-06,0.7,0.8333333333333334,0.5,0.625,0.5,0.3,20
2017-06-07,2017-07-04,0.55,0.5625,0.8181818181818182,0.6666666666666666,0.55,0.8,20
2017-07-05,2017-08-01,0.6,0.5294117647058824,1.0,0.6923076923076923,0.45,0.85,20
2017-08-02,2017-08-29,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.45,0.45,20
2017-08-30,2017-09-26,0.4,0.3888888888888889,0.875,0.5384615384615384,0.4,0.9,20
2017-09-27,2017-10-27,0.45,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.6,0.35,20
2017-10-30,2017-11-24,0.7,0.5714285714285714,1.0,0.7272727272727273,0.4,0.7,20
2017-11-27,2017-12-22,0.3,0.2727272727272727,0.3333333333333333,0.3,0.45,0.55,20
2017-12-25,2018-01-22,0.45,0.75,0.4,0.5217391304347826,0.75,0.4,20
2018-01-23,2018-02-27,0.45,0.4,0.75,0.5217391304347826,0.4,0.75,20
2018-03-01,2018-03-28,0.65,0.5,0.2857142857142857,0.36363636363636365,0.35,0.2,20
2018-03-29,2018-04-30,0.5,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.45,0.75,20
2018-05-02,2018-05-29,0.55,0.4,0.5714285714285714,0.47058823529411764,0.35,0.5,20
2018-05-30,2018-06-27,0.5,0.4,0.2222222222222222,0.2857142857142857,0.45,0.25,20
2018-06-28,2018-07-25,0.65,0.6875,0.8461538461538461,0.7586206896551724,0.65,0.8,20
2018-07-26,2018-08-22,0.35,0.0,0.0,0.0,0.55,0.1,20
2018-08-23,2018-09-19,0.35,0.5,0.15384615384615385,0.23529411764705882,0.65,0.2,20
2018-09-20,2018-10-19,0.6,0.5833333333333334,0.7,0.6363636363636364,0.5,0.6,20
2018-10-22,2018-11-16,0.5,0.5,0.5,0.5,0.5,0.5,20
2018-11-19,2018-12-14,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5,0.65,20
2018-12-17,2019-01-15,0.45,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.45,0.9,20
2019-01-16,2019-02-21,0.45,0.0,0.0,0.0,0.55,0.0,20
2019-02-22,2019-03-25,0.65,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.6,0.75,20
2019-03-26,2019-04-24,0.65,0.8,0.6153846153846154,0.6956521739130435,0.65,0.5,20
2019-04-25,2019-05-23,0.35,0.16666666666666666,0.4,0.23529411764705882,0.25,0.6,20
2019-05-24,2019-06-21,0.55,0.6153846153846154,0.6666666666666666,0.64,0.6,0.65,20
2019-06-24,2019-07-19,0.6,0.6,1.0,0.75,0.6,1.0,20
2019-07-22,2019-08-19,0.6,0.4,0.2857142857142857,0.3333333333333333,0.35,0.25,20
2019-08-20,2019-09-18,0.5,0.5,0.4,0.4444444444444444,0.5,0.4,20
2019-09-19,2019-10-21,0.45,0.0,0.0,0.0,0.55,0.0,20
2019-10-22,2019-11-18,0.6,0.6,1.0,0.75,0.6,1.0,20
2019-11-19,2019-12-16,0.35,0.3333333333333333,0.4444444444444444,0.38095238095238093,0.45,0.6,20
2019-12-17,2020-01-14,0.55,0.5,0.2222222222222222,0.3076923076923077,0.45,0.2,20
2020-01-15,2020-02-20,0.45,0.3888888888888889,1.0,0.56,0.35,0.9,20
2020-02-21,2020-03-20,0.3,0.3,1.0,0.46153846153846156,0.3,1.0,20
2020-03-23,2020-04-21,0.5,0.5,0.4,0.4444444444444444,0.5,0.4,20
2020-04-22,2020-05-20,0.65,0.65,1.0,0.7878787878787878,0.65,1.0,20
2020-05-21,2020-06-17,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.6,20
2020-06-18,2020-07-17,0.7,0.75,0.8571428571428571,0.8,0.7,0.8,20
2020-07-20,2020-08-14,0.5,0.625,0.4166666666666667,0.5,0.6,0.4,20
2020-08-17,2020-09-11,0.5,0.6,0.2727272727272727,0.375,0.55,0.25,20
2020-09-14,2020-10-14,0.45,0.4666666666666667,0.7,0.56,0.5,0.75,20
2020-10-15,2020-11-11,0.5,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.55,0.35,20
2020-11-12,2020-12-09,0.5,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.55,0.95,20
2020-12-10,2021-01-07,0.4,0.5833333333333334,0.5,0.5384615384615384,0.7,0.6,20
2021-01-08,2021-02-04,0.55,1.0,0.18181818181818182,0.3076923076923077,0.55,0.1,20
2021-02-05,2021-03-16,0.6,0.5,0.5,0.5,0.4,0.4,20
2021-03-17,2021-04-16,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.45,0.45,20
2021-04-19,2021-05-17,0.5,0.4117647058823529,1.0,0.5833333333333334,0.35,0.85,20
2021-05-18,2021-06-15,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,20
2021-06-16,2021-07-13,0.45,0.0,0.0,0.0,0.5,0.05,20
2021-07-14,2021-08-10,0.7,0.6,0.75,0.6666666666666666,0.4,0.5,20
2021-08-11,2021-09-07,0.75,0.7272727272727273,0.8,0.7619047619047619,0.5,0.55,20
2021-09-08,2021-10-07,0.55,0.16666666666666666,0.2,0.18181818181818182,0.25,0.3,20
2021-10-08,2021-11-05,0.55,0.45454545454545453,0.625,0.5263157894736842,0.4,0.55,20
2021-11-08,2021-12-03,0.65,1.0,0.2222222222222222,0.36363636363636365,0.45,0.1,20
2021-12-06,2022-01-03,0.4,0.0,0.0,0.0,0.6,0.0,20
2022-01-04,2022-02-09,0.4,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.45,0.95,20
2022-02-10,2022-03-10,0.75,0.5,0.2,0.2857142857142857,0.25,0.1,20
2022-03-11,2022-04-11,0.55,0.5,0.3333333333333333,0.4,0.45,0.3,20
2022-04-12,2022-05-10,0.45,0.42105263157894735,1.0,0.5925925925925926,0.4,0.95,20
2022-05-11,2022-06-08,0.5,0.0,0.0,0.0,0.5,0.0,20
2022-06-09,2022-07-06,0.35,0.3157894736842105,1.0,0.48,0.3,0.95,20
2022-07-07,2022-08-03,0.45,0.0,0.0,0.0,0.55,0.0,20
2022-08-04,2022-08-31,0.4,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.45,0.95,20
2022-09-01,2022-09-29,0.25,0.25,0.5714285714285714,0.34782608695652173,0.35,0.8,20
2022-09-30,2022-10-28,0.65,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.45,0.6,20
2022-10-31,2022-11-25,0.3,0.0,0.0,0.0,0.7,0.0,20
2022-11-28,2022-12-23,0.45,0.4375,0.7777777777777778,0.56,0.45,0.8,20
2022-12-26,2023-02-02,0.35,0.0,0.0,0.0,0.65,0.0,20
2023-02-03,2023-03-06,0.55,0.3333333333333333,0.125,0.18181818181818182,0.4,0.15,20
2023-03-07,2023-04-06,0.4,0.0,0.0,0.0,0.55,0.05,20
2023-04-07,2023-05-05,0.65,0.6,0.375,0.46153846153846156,0.4,0.25,20
2023-05-08,2023-06-02,0.5,0.42857142857142855,0.3333333333333333,0.375,0.45,0.35,20
2023-06-05,2023-07-04,0.3,0.3333333333333333,0.4,0.36363636363636365,0.5,0.6,20
2023-07-05,2023-08-01,0.65,0.0,0.0,0.0,0.35,0.0,20
2023-08-02,2023-08-30,0.45,0.47058823529411764,0.8,0.5925925925925926,0.5,0.85,20
2023-08-31,2023-09-27,0.55,0.4,0.5714285714285714,0.47058823529411764,0.35,0.5,20
2023-09-28,2023-10-30,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,20
2023-10-31,2023-11-27,0.65,0.875,0.5384615384615384,0.6666666666666666,0.65,0.4,20
2023-11-28,2023-12-25,0.7,0.8,0.4444444444444444,0.5714285714285714,0.45,0.25,20
2023-12-26,2024-01-23,0.7,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.55,0.75,20
2024-01-24,2024-03-01,0.55,0.5625,0.8181818181818182,0.6666666666666666,0.55,0.8,20
2024-03-04,2024-03-29,0.55,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.6,0.85,20
2024-04-01,2024-04-30,0.6,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.45,0.65,20
2024-05-02,2024-05-29,0.4,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.65,0.45,20
2024-05-30,2024-06-27,0.4,0.0,0.0,0.0,0.6,0.0,20
