時間段開始,時間段結束,準確率,精確率,召回率,F1分數,實際上漲比例,預測上漲比例,測試樣本數
2016-06-15,2016-07-13,0.7,0.7058823529411765,0.9230769230769231,0.8,0.65,0.85,20
2016-07-14,2016-08-10,0.6,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7,0.7,20
2016-08-11,2016-09-08,0.5,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.45,0.65,20
2016-09-09,2016-10-06,0.65,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.55,0.6,20
2016-10-07,2016-11-03,0.55,0.5,0.5555555555555556,0.5263157894736842,0.45,0.5,20
2016-11-04,2016-12-02,0.4,0.42857142857142855,0.2727272727272727,0.3333333333333333,0.55,0.35,20
2016-12-05,2017-01-03,0.4,0.75,0.21428571428571427,0.3333333333333333,0.7,0.2,20
2017-01-04,2017-02-01,0.45,0.5,0.6363636363636364,0.56,0.55,0.7,20
2017-02-02,2017-03-02,0.55,0.46153846153846156,0.75,0.5714285714285714,0.4,0.65,20
2017-03-03,2017-03-30,0.5,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.55,0.35,20
2017-03-31,2017-04-28,0.65,0.625,0.9090909090909091,0.7407407407407407,0.55,0.8,20
2017-05-01,2017-05-26,0.4,0.75,0.21428571428571427,0.3333333333333333,0.7,0.2,20
2017-05-30,2017-06-26,0.5,0.5,0.2,0.2857142857142857,0.5,0.2,20
2017-06-27,2017-07-25,0.4,0.5,0.25,0.3333333333333333,0.6,0.3,20
2017-07-26,2017-08-22,0.35,0.2,0.1,0.13333333333333333,0.5,0.25,20
2017-08-23,2017-09-20,0.55,0.5454545454545454,0.6,0.5714285714285714,0.5,0.55,20
2017-09-21,2017-10-18,0.4,1.0,0.14285714285714285,0.25,0.7,0.1,20
2017-10-19,2017-11-15,0.45,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.6,0.35,20
2017-11-16,2017-12-14,0.55,0.5294117647058824,0.9,0.6666666666666666,0.5,0.85,20
2017-12-15,2018-01-16,0.5,0.625,0.4166666666666667,0.5,0.6,0.4,20
2018-01-17,2018-02-13,0.35,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.6,0.45,20
2018-02-14,2018-03-14,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.55,0.55,20
2018-03-15,2018-04-12,0.5,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.45,0.85,20
2018-04-13,2018-05-10,0.5,0.5,0.8,0.6153846153846154,0.5,0.8,20
2018-05-11,2018-06-08,0.55,0.6,0.5454545454545454,0.5714285714285714,0.55,0.5,20
2018-06-11,2018-07-09,0.55,0.5714285714285714,0.4,0.47058823529411764,0.5,0.35,20
2018-07-10,2018-08-06,0.35,0.25,0.09090909090909091,0.13333333333333333,0.55,0.2,20
2018-08-07,2018-09-04,0.45,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.6,0.35,20
2018-09-05,2018-10-02,0.5,0.5,0.1,0.16666666666666666,0.5,0.1,20
2018-10-03,2018-10-30,0.55,0.4,1.0,0.5714285714285714,0.3,0.75,20
2018-10-31,2018-11-28,0.6,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.45,0.75,20
2018-11-29,2018-12-28,0.7,0.625,0.625,0.625,0.4,0.4,20
2018-12-31,2019-01-29,0.55,0.6666666666666666,0.6153846153846154,0.64,0.65,0.6,20
2019-01-30,2019-02-27,0.55,0.8,0.3333333333333333,0.47058823529411764,0.6,0.25,20
2019-02-28,2019-03-27,0.45,0.0,0.0,0.0,0.55,0.0,20
2019-03-28,2019-04-25,0.45,0.5,0.09090909090909091,0.15384615384615385,0.55,0.1,20
2019-04-26,2019-05-23,0.65,0.5,0.8571428571428571,0.631578947368421,0.35,0.6,20
2019-05-24,2019-06-21,0.65,0.6428571428571429,0.8181818181818182,0.72,0.55,0.7,20
2019-06-24,2019-07-22,0.4,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.65,0.45,20
2019-07-23,2019-08-19,0.55,0.5,0.2222222222222222,0.3076923076923077,0.45,0.2,20
2019-08-20,2019-09-17,0.45,0.5,0.45454545454545453,0.47619047619047616,0.55,0.5,20
2019-09-18,2019-10-15,0.6,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.55,0.55,20
2019-10-16,2019-11-12,0.55,1.0,0.18181818181818182,0.3076923076923077,0.55,0.1,20
2019-11-13,2019-12-11,0.5,0.5333333333333333,0.7272727272727273,0.6153846153846154,0.55,0.75,20
2019-12-12,2020-01-10,0.3,0.0,0.0,0.0,0.7,0.0,20
2020-01-13,2020-02-10,0.55,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.6,0.85,20
2020-02-11,2020-03-10,0.55,0.5,0.2222222222222222,0.3076923076923077,0.45,0.2,20
2020-03-11,2020-04-07,0.9,0.9,0.9,0.9,0.5,0.5,20
2020-04-08,2020-05-06,0.55,1.0,0.18181818181818182,0.3076923076923077,0.55,0.1,20
2020-05-07,2020-06-04,0.4,0.0,0.0,0.0,0.6,0.0,20
2020-06-05,2020-07-02,0.4,0.6,0.23076923076923078,0.3333333333333333,0.65,0.25,20
2020-07-06,2020-07-31,0.8,0.8,0.9230769230769231,0.8571428571428571,0.65,0.75,20
2020-08-03,2020-08-28,0.35,1.0,0.07142857142857142,0.13333333333333333,0.7,0.05,20
2020-08-31,2020-09-28,0.5,0.5294117647058824,0.8181818181818182,0.6428571428571429,0.55,0.85,20
2020-09-29,2020-10-26,0.55,0.5454545454545454,0.6,0.5714285714285714,0.5,0.55,20
2020-10-27,2020-11-23,0.6,0.6,1.0,0.75,0.6,1.0,20
2020-11-24,2020-12-22,0.6,0.7,0.5833333333333334,0.6363636363636364,0.6,0.5,20
2020-12-23,2021-01-22,0.6,0.5833333333333334,0.7,0.6363636363636364,0.5,0.6,20
2021-01-25,2021-02-22,0.55,0.5,0.3333333333333333,0.4,0.45,0.3,20
2021-02-23,2021-03-22,0.75,0.8,0.7272727272727273,0.7619047619047619,0.55,0.5,20
2021-03-23,2021-04-20,0.45,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.6,0.35,20
2021-04-21,2021-05-18,0.55,0.5,0.6666666666666666,0.5714285714285714,0.45,0.6,20
2021-05-19,2021-06-16,0.25,0.6666666666666666,0.125,0.21052631578947367,0.8,0.15,20
2021-06-17,2021-07-15,0.5,0.5,0.6,0.5454545454545454,0.5,0.6,20
2021-07-16,2021-08-12,0.55,0.75,0.2727272727272727,0.4,0.55,0.2,20
2021-08-13,2021-09-10,0.55,0.5,0.2222222222222222,0.3076923076923077,0.45,0.2,20
2021-09-13,2021-10-08,0.5,0.5,0.3,0.375,0.5,0.3,20
2021-10-11,2021-11-05,0.35,0.8,0.25,0.38095238095238093,0.8,0.25,20
2021-11-08,2021-12-06,0.5,0.4166666666666667,0.625,0.5,0.4,0.6,20
2021-12-07,2022-01-04,0.55,0.4,0.5714285714285714,0.47058823529411764,0.35,0.5,20
2022-01-05,2022-02-02,0.35,0.38461538461538464,0.5,0.43478260869565216,0.5,0.65,20
2022-02-03,2022-03-03,0.6,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.55,0.35,20
2022-03-04,2022-03-31,0.5,0.5,0.4,0.4444444444444444,0.5,0.4,20
2022-04-01,2022-04-29,0.55,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.35,0.7,20
2022-05-02,2022-05-27,0.5,0.5,0.8,0.6153846153846154,0.5,0.8,20
2022-05-31,2022-06-28,0.5,0.4444444444444444,1.0,0.6153846153846154,0.4,0.9,20
2022-06-29,2022-07-27,0.6,0.6428571428571429,0.75,0.6923076923076923,0.6,0.7,20
2022-07-28,2022-08-24,0.6,0.75,0.5,0.6,0.6,0.4,20
2022-08-25,2022-09-22,0.5,0.38461538461538464,0.7142857142857143,0.5,0.35,0.65,20
2022-09-23,2022-10-20,0.55,0.55,1.0,0.7096774193548387,0.55,1.0,20
2022-10-21,2022-11-17,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.6,0.7,20
2022-11-18,2022-12-16,0.6,0.5,0.125,0.2,0.4,0.1,20
2022-12-19,2023-01-18,0.45,0.5,0.6363636363636364,0.56,0.55,0.7,20
2023-01-19,2023-02-15,0.3,0.0,0.0,0.0,0.7,0.0,20
2023-02-16,2023-03-16,0.5,0.6,0.2727272727272727,0.375,0.55,0.25,20
2023-03-17,2023-04-14,0.5,1.0,0.16666666666666666,0.2857142857142857,0.6,0.1,20
2023-04-17,2023-05-12,0.4,0.3333333333333333,0.09090909090909091,0.14285714285714285,0.55,0.15,20
2023-05-15,2023-06-12,0.55,1.0,0.18181818181818182,0.3076923076923077,0.55,0.1,20
2023-06-13,2023-07-12,0.75,0.7272727272727273,0.8,0.7619047619047619,0.5,0.55,20
2023-07-13,2023-08-09,0.6,0.5714285714285714,0.4444444444444444,0.5,0.45,0.35,20
2023-08-10,2023-09-07,0.35,0.2,0.1,0.13333333333333333,0.5,0.25,20
2023-09-08,2023-10-05,0.4,0.5,0.25,0.3333333333333333,0.6,0.3,20
2023-10-06,2023-11-02,0.55,0.5714285714285714,0.7272727272727273,0.64,0.55,0.7,20
2023-11-03,2023-12-01,0.65,1.0,0.36363636363636365,0.5333333333333333,0.55,0.2,20
2023-12-04,2024-01-02,0.45,1.0,0.08333333333333333,0.15384615384615385,0.6,0.05,20
2024-01-03,2024-01-31,0.2,0.0,0.0,0.0,0.8,0.0,20
2024-02-01,2024-02-29,0.5,1.0,0.09090909090909091,0.16666666666666666,0.55,0.05,20
2024-03-01,2024-03-28,0.45,1.0,0.15384615384615385,0.26666666666666666,0.65,0.1,20
2024-04-01,2024-04-26,0.3,0.3333333333333333,0.4,0.36363636363636365,0.5,0.6,20
2024-04-29,2024-05-24,0.45,1.0,0.08333333333333333,0.15384615384615385,0.6,0.05,20
2024-05-28,2024-06-25,0.5,0.6,0.2727272727272727,0.375,0.55,0.25,20
2024-06-26,2024-07-24,0.5,0.3333333333333333,0.25,0.2857142857142857,0.4,0.3,20
2024-07-25,2024-08-21,0.45,0.5,0.8181818181818182,0.6206896551724138,0.55,0.9,20
2024-08-22,2024-09-19,0.6,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.45,0.75,20
2024-09-20,2024-10-17,0.4,1.0,0.2,0.3333333333333333,0.75,0.15,20
2024-10-18,2024-11-14,0.55,0.625,0.45454545454545453,0.5263157894736842,0.55,0.4,20
2024-11-15,2024-12-13,0.4,0.3888888888888889,0.875,0.5384615384615384,0.4,0.9,20
2024-12-16,2025-01-15,0.35,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.45,0.7,20
2025-01-16,2025-02-13,0.5,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.65,0.45,20
2025-02-14,2025-03-14,0.5,0.5,0.8,0.6153846153846154,0.5,0.8,20
