時間段開始,時間段結束,準確率,精確率,召回率,F1分數,實際上漲比例,預測上漲比例,測試樣本數
2021-03-16,2021-04-13,0.65,1.0,0.46153846153846156,0.631578947368421,0.65,0.3,20
2021-04-14,2021-05-11,0.55,0.0,0.0,0.0,0.2,0.25,20
2021-05-12,2021-06-09,0.25,0.0,0.0,0.0,1.0,0.25,20
2021-06-10,2021-07-08,0.75,0.75,1.0,0.8571428571428571,0.75,1.0,20
2021-07-09,2021-08-05,0.8,0.7647058823529411,1.0,0.8666666666666667,0.65,0.85,20
2021-08-06,2021-09-02,0.5,1.0,0.16666666666666666,0.2857142857142857,0.6,0.1,20
2021-09-03,2021-10-01,0.5,0.4,0.5,0.4444444444444444,0.4,0.5,20
2021-10-04,2021-10-29,0.85,0.0,0.0,0.0,1.0,0.85,20
2021-11-01,2021-11-29,0.45,1.0,0.08333333333333333,0.15384615384615385,0.6,0.05,20
2021-11-30,2021-12-28,0.75,0.6,0.8571428571428571,0.7058823529411765,0.35,0.5,20
2021-12-29,2022-01-26,0.75,0.3333333333333333,0.25,0.2857142857142857,0.2,0.15,20
2022-01-27,2022-02-24,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,20
2022-02-25,2022-03-24,0.45,0.5384615384615384,0.5833333333333334,0.56,0.6,0.65,20
2022-03-25,2022-04-22,0.2,0.0,0.0,0.0,0.05,0.75,20
2022-04-25,2022-05-20,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,20
2022-05-23,2022-06-21,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,20
2022-06-22,2022-07-20,0.75,0.8,0.7272727272727273,0.7619047619047619,0.55,0.5,20
2022-07-21,2022-08-17,0.5,0.0,0.0,0.0,0.5,0.0,20
2022-08-18,2022-09-15,0.45,0.26666666666666666,1.0,0.42105263157894735,0.2,0.75,20
2022-09-16,2022-10-13,0.5,0.42857142857142855,0.75,0.5454545454545454,0.4,0.7,20
2022-10-14,2022-11-10,0.95,0.95,1.0,0.9743589743589743,0.95,1.0,20
2022-11-11,2022-12-09,0.7,1.0,0.5714285714285714,0.7272727272727273,0.7,0.4,20
2022-12-12,2023-01-10,0.9,0.9,0.9,0.9,0.5,0.5,20
2023-01-11,2023-02-08,0.3,1.0,0.2631578947368421,0.4166666666666667,0.95,0.25,20
2023-02-09,2023-03-09,0.7,0.7,1.0,0.8235294117647058,0.7,1.0,20
2023-03-10,2023-04-06,0.5,1.0,0.23076923076923078,0.375,0.65,0.15,20
2023-04-10,2023-05-05,0.2,0.0,0.0,0.0,0.8,0.0,20
2023-05-08,2023-06-05,0.35,1.0,0.13333333333333333,0.23529411764705882,0.75,0.1,20
2023-06-06,2023-07-05,0.75,1.0,0.6153846153846154,0.7619047619047619,0.65,0.4,20
2023-07-06,2023-08-02,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.45,0.45,20
2023-08-03,2023-08-30,0.35,0.0,0.0,0.0,0.65,0.0,20
2023-08-31,2023-09-28,0.65,0.0,0.0,0.0,0.35,0.0,20
2023-09-29,2023-10-26,0.6,0.5,0.875,0.6363636363636364,0.4,0.7,20
2023-10-27,2023-11-24,0.65,0.875,0.5384615384615384,0.6666666666666666,0.65,0.4,20
2023-11-27,2023-12-22,0.4,0.0,0.0,0.0,0.6,0.0,20
2023-12-26,2024-01-24,0.9,0.8947368421052632,1.0,0.9444444444444444,0.85,0.95,20
2024-01-25,2024-02-22,0.9,0.9,1.0,0.9473684210526315,0.9,1.0,20
2024-02-23,2024-03-21,0.75,0.75,1.0,0.8571428571428571,0.75,1.0,20
2024-03-22,2024-04-19,0.8,0.0,0.0,0.0,0.2,0.0,20
2024-04-22,2024-05-17,0.5,1.0,0.47368421052631576,0.6428571428571429,0.95,0.45,20
2024-05-20,2024-06-17,0.5,0.8181818181818182,0.5294117647058824,0.6428571428571429,0.85,0.55,20
2024-06-18,2024-07-17,0.6,0.0,0.0,0.0,0.4,0.0,20
2024-07-18,2024-08-14,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,20
2024-08-15,2024-09-12,0.75,0.6428571428571429,1.0,0.782608695652174,0.45,0.7,20
2024-09-13,2024-10-10,0.3,0.0,0.0,0.0,0.7,0.0,20
2024-10-11,2024-11-07,0.45,1.0,0.08333333333333333,0.15384615384615385,0.6,0.05,20
2024-11-08,2024-12-06,0.85,0.625,1.0,0.7692307692307693,0.25,0.4,20
2024-12-09,2025-01-07,0.7,0.625,1.0,0.7692307692307693,0.5,0.8,20
2025-01-08,2025-02-06,0.8,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.6,0.7,20
2025-02-07,2025-03-07,0.45,0.3076923076923077,0.6666666666666666,0.42105263157894735,0.3,0.65,20
