時間段開始,時間段結束,準確率,精確率,召回率,F1分數,實際上漲比例,預測上漲比例,測試樣本數
2021-03-16,2021-04-13,0.55,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.65,0.3,20
2021-04-14,2021-05-11,0.6,0.6,0.3333333333333333,0.42857142857142855,0.45,0.25,20
2021-05-12,2021-06-09,0.55,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7,0.75,20
2021-06-10,2021-07-08,0.4,0.6,0.23076923076923078,0.3333333333333333,0.65,0.25,20
2021-07-09,2021-08-05,0.45,0.4444444444444444,0.4,0.42105263157894735,0.5,0.45,20
2021-08-06,2021-09-02,0.5,0.5,0.2,0.2857142857142857,0.5,0.2,20
2021-09-03,2021-10-01,0.35,0.2727272727272727,0.375,0.3157894736842105,0.4,0.55,20
2021-10-04,2021-10-29,0.35,0.75,0.2,0.3157894736842105,0.75,0.2,20
2021-11-01,2021-11-29,0.6,0.625,0.5,0.5555555555555556,0.5,0.4,20
2021-11-30,2021-12-28,0.4,0.375,0.75,0.5,0.4,0.8,20
2021-12-29,2022-01-26,0.35,0.25,0.42857142857142855,0.3157894736842105,0.35,0.6,20
2022-01-27,2022-02-24,0.55,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.65,0.3,20
2022-02-25,2022-03-24,0.65,0.6363636363636364,0.7,0.6666666666666666,0.5,0.55,20
2022-03-25,2022-04-22,0.45,0.35714285714285715,0.7142857142857143,0.47619047619047616,0.35,0.7,20
2022-04-25,2022-05-20,0.45,0.45,1.0,0.6206896551724138,0.45,1.0,20
2022-05-23,2022-06-21,0.55,0.5454545454545454,0.6,0.5714285714285714,0.5,0.55,20
2022-06-22,2022-07-20,0.45,0.5,0.6363636363636364,0.56,0.55,0.7,20
2022-07-21,2022-08-17,0.55,0.6,0.5454545454545454,0.5714285714285714,0.55,0.5,20
2022-08-18,2022-09-15,0.5,0.42857142857142855,0.75,0.5454545454545454,0.4,0.7,20
2022-09-16,2022-10-13,0.45,0.4,0.75,0.5217391304347826,0.4,0.75,20
2022-10-14,2022-11-10,0.55,1.0,0.4375,0.6086956521739131,0.8,0.35,20
2022-11-11,2022-12-09,0.5,0.375,0.375,0.375,0.4,0.4,20
2022-12-12,2023-01-10,0.4,0.36363636363636365,0.4444444444444444,0.4,0.45,0.55,20
2023-01-11,2023-02-08,0.45,1.0,0.26666666666666666,0.42105263157894735,0.75,0.2,20
2023-02-09,2023-03-09,0.35,0.2727272727272727,0.375,0.3157894736842105,0.4,0.55,20
2023-03-10,2023-04-06,0.3,1.0,0.06666666666666667,0.125,0.75,0.05,20
2023-04-10,2023-05-05,0.45,0.5,0.6363636363636364,0.56,0.55,0.7,20
2023-05-08,2023-06-05,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.45,0.45,20
2023-06-06,2023-07-05,0.4,0.3333333333333333,0.2,0.25,0.5,0.3,20
2023-07-06,2023-08-02,0.65,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.55,0.3,20
2023-08-03,2023-08-30,0.35,0.4375,0.6363636363636364,0.5185185185185185,0.55,0.8,20
2023-08-31,2023-09-28,0.55,0.5,0.4444444444444444,0.47058823529411764,0.45,0.4,20
2023-09-29,2023-10-26,0.6,0.8,0.36363636363636365,0.5,0.55,0.25,20
2023-10-27,2023-11-24,0.65,1.0,0.5,0.6666666666666666,0.7,0.35,20
2023-11-27,2023-12-22,0.5,0.5555555555555556,0.45454545454545453,0.5,0.55,0.45,20
2023-12-26,2024-01-24,0.4,1.0,0.2,0.3333333333333333,0.75,0.15,20
2024-01-25,2024-02-22,0.55,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.55,0.9,20
2024-02-23,2024-03-21,0.4,1.0,0.07692307692307693,0.14285714285714285,0.65,0.05,20
2024-03-22,2024-04-19,0.5,0.45454545454545453,0.5555555555555556,0.5,0.45,0.55,20
2024-04-22,2024-05-17,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6,20
2024-05-20,2024-06-17,0.4,1.0,0.07692307692307693,0.14285714285714285,0.65,0.05,20
2024-06-18,2024-07-17,0.45,0.4,0.4444444444444444,0.42105263157894735,0.45,0.5,20
2024-07-18,2024-08-14,0.5,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.45,0.85,20
2024-08-15,2024-09-12,0.65,0.75,0.5454545454545454,0.631578947368421,0.55,0.4,20
2024-09-13,2024-10-10,0.6,0.75,0.5,0.6,0.6,0.4,20
2024-10-11,2024-11-07,0.7,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.65,0.65,20
2024-11-08,2024-12-06,0.55,0.5,0.3333333333333333,0.4,0.45,0.3,20
2024-12-09,2025-01-07,0.45,0.45,1.0,0.6206896551724138,0.45,1.0,20
2025-01-08,2025-02-06,0.65,0.625,0.9090909090909091,0.7407407407407407,0.55,0.8,20
2025-02-07,2025-03-07,0.5,0.5,0.8,0.6153846153846154,0.5,0.8,20
