股票代號,股票名稱
2330,台積電
2454,聯發科
2317,鴻海
2881,富邦金
2412,中華電
2382,廣達
2308,台達電
2882,國泰金
2891,中信金
3711,日月光投控
2303,聯電
2886,兆豐金
2884,玉山金
2603,長榮
1216,統一
2357,華碩
3045,台灣大
2885,元大金
2880,華南金
5880,合庫金
2892,第一金
6669,緯穎
2207,和泰車
2345,智邦
6505,台塑化
2002,中鋼
3034,聯詠
3008,大立光
4904,遠傳
3231,緯創
2395,研華
2883,凱基金
2912,統一超
2890,永豐金
2379,瑞昱
1303,南亞
2327,國巨
2609,陽明
2615,萬海
5876,上海商銀
2301,光寶科
1101,台泥
2887,台新金
1301,台塑
4938,和碩
2888,新光金
2618,長榮航
2801,彰銀
5871,中租-KY
2383,台光電
3017,奇鋐
1590,亞德客-KY
1402,遠東新
3661,世芯-KY
2059,川湖
2105,正新
1102,亞泥
6446,藥華藥
6415,矽力*-KY
2376,技嘉
2474,可成
1326,台化
2356,英業達
3037,欣興
3653,健策
3533,嘉澤
3443,創意
6409,旭隼
3036,文曄
2834,臺企銀
2610,華航
5269,祥碩
2360,致茂
1519,華城
2324,仁寶
2347,聯強
2377,微星
2385,群光
8464,億豐
1476,儒鴻
3702,大聯大
2408,南亞科
9910,豐泰
3481,群創
2812,台中銀
2353,宏碁
2449,京元電子
1504,東元
6919,康霈*
2027,大成鋼
3665,貿聯-KY
9904,寶成
3044,健鼎
2371,大同
2409,友達
2368,金像電
9945,潤泰新
4958,臻鼎-KY
6890,來億-KY
2542,興富發
2404,漢唐
6526,達發
2354,鴻準
1605,華新
4763,材料-KY
6239,力成
8454,富邦媒
2049,上銀
1319,東陽
1229,聯華
1503,士電
6472,保瑞
2646,星宇航空
6781,AES-KY
2633,台灣高鐵
2344,華邦電
1477,聚陽
2258,鴻華先進-創
6176,瑞儀
2838,聯邦銀
2313,華通
3005,神基
1513,中興電
8046,南電
6789,采鈺
3706,神達
6285,啟碁
2539,櫻花建
2915,潤泰全
6770,力積電
9941,裕融
1795,美時
6005,群益證
2540,愛山林
2206,三陽工業
6139,亞翔
2845,遠東銀
4583,台灣精銳
2809,京城銀
1210,大成
3023,信邦
1736,喬山
3596,智易
9917,中保科
2352,佳世達
9921,巨大
1722,台肥
6670,復盛應用
2006,東和鋼鐵
3035,智原
5434,崇越
5522,遠雄
2504,國產
9939,宏全
2637,慧洋-KY
9958,世紀鋼
2606,裕民
2597,潤弘
2634,漢翔
1907,永豐餘
2451,創見
2889,國票金
6412,群電
6691,洋基工程
3406,玉晶光
6592,和潤企業
2201,裕隆
7722,LINEPAY
4766,南寶
1802,台玻
2388,威盛
2458,義隆
2204,中華
9914,美利達
2645,長榮航太
6531,愛普*
2492,華新科
6757,台灣虎航
3019,亞光
2337,旺宏
2923,鼎固-KY
3376,新日興
1560,中砂
6414,樺漢
1231,聯華食
2015,豐興
6257,矽格
4915,致伸
2211,長榮鋼
3189,景碩
2855,統一證
2393,億光
2850,新產
2903,遠百
1773,勝一
2543,皇昌
6214,精誠
2101,南港
6196,帆宣
2498,宏達電
1808,潤隆
2548,華固
2867,三商壽
6805,富世達
5388,中磊
2441,超豐
2023,燁輝
8070,長華*
1227,佳格
2607,榮運
3532,台勝科
2362,藍天
1717,長興
6605,帝寶
3450,聯鈞
6278,台表科
8926,台汽電
8210,勤誠
6515,穎崴
2312,金寶
1215,卜蜂
4919,新唐
6191,精成科
2439,美律
9907,統一實
6550,北極星藥業-KY
2520,冠德
3042,晶技
1434,福懋
1609,大亞
1314,中石化
6491,晶碩
6442,光聖
3413,京鼎
4961,天鈺
8112,至上
2897,王道銀行
1442,名軒
3617,碩天
8016,矽創
5534,長虹
2707,晶華
3030,德律
2363,矽統
2392,正崴
3592,瑞鼎
3010,華立
1514,亞力
1232,大統益
3714,富采
2530,華建
6806,森崴能源
6962,奕力-KY
6873,泓德能源
2421,建準
6213,聯茂
2014,中鴻
2247,汎德永業
5469,瀚宇博
6768,志強-KY
2359,所羅門
2106,建大
8028,昇陽半導體
2501,國建
9933,中鼎
2467,志聖
6282,康舒
6271,同欣電
3583,辛耘
3515,華擎
1723,中碳
3014,聯陽
6579,研揚
2836,高雄銀
2851,中再保
6177,達麗
6116,彩晶
9940,信義
9802,鈺齊-KY
6869,雲豹能源
1707,葡萄王
1409,新纖
2820,華票
8422,可寧衛
3703,欣陸
1440,南紡
2849,安泰銀
2208,台船
2328,廣宇
4770,上品
8114,振樺電
9911,櫻花
1904,正隆
8996,高力
1104,環泥
3029,零壹
8150,南茂
9937,全國
