Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",209.68,-7.3,-3.36%,216.84,208.42,61368301,2025-03-13
ABNB,"Airbnb Inc Cl A",119.38,-7.17,-5.67%,126.22,119.15,7669600,2025-03-13
ADBE,"Adobe Systems Inc",377.84,-60.76,-13.85%,405.77,374.5,14386600,2025-03-13
ADI,"Analog Devices",203.8,-2.82,-1.36%,208.16,202.59,2625500,2025-03-13
ADP,"Automatic Data Procs",290.55,-3.63,-1.23%,294.19,289.45,2062500,2025-03-13
ADSK,"Autodesk Inc",246.93,-4.92,-1.95%,252.66,244.85,1498300,2025-03-13
AEP,"American Electric Power Company",104.24,1.28,+1.24%,104.29,102.69,1909500,2025-03-13
AMAT,"Applied Materials",149.95,0.89,+0.60%,153.06,148.37,5702100,2025-03-13
AMD,"Adv Micro Devices",98.11,-2.68,-2.66%,100.07,97.27,28575100,2025-03-13
AMGN,"Amgen Inc",312.64,0.14,+0.04%,316.75,311.99,2062700,2025-03-13
AMZN,"Amazon.com Inc",193.89,-5.,-2.51%,198.88,191.82,41270699,2025-03-13
ANSS,"Ansys Inc",317.56,0.07,+0.02%,318.7,314.11,511500,2025-03-13
APP,"Applovin Corp Cl A",272,-0.59,-0.22%,275,260.93,7266100,2025-03-13
ARM,"Arm Holdings Plc ADR",112.05,-0.65,-0.58%,114.78,109.9,4480600,2025-03-13
ASML,"Asml Holdings NY Reg ADR",694.59,-8.78,-1.25%,705.3,688.26,1399400,2025-03-13
AVGO,"Broadcom Ltd",191.36,-2.87,-1.48%,196.32,189.46,27236102,2025-03-13
AXON,"Axon Enterprise Inc",534.56,-23.33,-4.18%,569.95,530.22,760800,2025-03-13
AZN,"Astrazeneca Plc ADR",76.51,0.94,+1.24%,77.03,76.17,7431200,2025-03-13
BIIB,"Biogen Inc",139.98,-0.21,-0.15%,143.5,139.05,1301200,2025-03-13
BKNG,"Booking Holdings Inc",4295.4,-105.12,-2.39%,4400.52,4279.4,319100,2025-03-13
BKR,"Baker Hughes Company",41.74,-0.74,-1.74%,42.92,41.51,5773500,2025-03-13
