Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",209.68,-7.3,-3.36%,216.84,208.42,61368301,2025-03-13
ABBV,"Abbvie Inc",211.55,-0.51,-0.24%,213.8,210.68,5559500,2025-03-13
ABT,"Abbott Laboratories",129.89,-0.39,-0.30%,130.8499,129,9012800,2025-03-13
ACN,"Accenture Plc",317.07,-7.26,-2.24%,323.69,314.61,3667600,2025-03-13
ADBE,"Adobe Systems Inc",377.84,-60.76,-13.85%,405.77,374.5,14386600,2025-03-13
AIG,"American International Group",81.55,1.17,+1.46%,82.105,80.17,6233900,2025-03-13
AMD,"Adv Micro Devices",98.11,-2.68,-2.66%,100.07,97.27,28575100,2025-03-13
AMGN,"Amgen Inc",312.64,0.14,+0.04%,316.75,311.99,2062700,2025-03-13
AMT,"American Tower Corp",207.77,1.08,+0.52%,208.995,205.01,2691100,2025-03-13
AMZN,"Amazon.com Inc",193.89,-5.,-2.51%,198.88,191.82,41270699,2025-03-13
AVGO,"Broadcom Ltd",191.36,-2.87,-1.48%,196.32,189.46,27236102,2025-03-13
AXP,"American Express Company",256.43,-4.32,-1.66%,261.51,253.52,4194100,2025-03-13
BA,"Boeing Company",159.32,0.51999999999998,+0.33%,161.74,157.25,5701500,2025-03-13
BAC,"Bank of America Corp",39.67,-0.24,-0.60%,40.19,39.33,37766000,2025-03-13
BK,"Bank of New York Mellon Corp",79.66,-1.1,-1.36%,81.08,79.25,4164300,2025-03-13
BKNG,"Booking Holdings Inc",4295.4,-105.12,-2.39%,4400.52,4279.4,319100,2025-03-13
BLK,"Blackrock Inc",900.46,-9.6,-1.05%,913.5,898.26,656700,2025-03-13
BMY,"Bristol-Myers Squibb Company",60.28,0.47,+0.79%,60.76,59.79,8990300,2025-03-13
BRK.B,"Berkshire Hathaway Cl B",504.25,8.31,+1.68%,507.398,494.75,5104200,2025-03-13
C,"Citigroup Inc",67.23,-0.72,-1.06%,69.14,66.73,17125200,2025-03-13
CAT,"Caterpillar Inc",333.31,-4.82,-1.43%,340.65,331.67,2490300,2025-03-13
CHTR,"Charter Communications Inc",345.4,-4.35,-1.24%,354.52,344.41,1432300,2025-03-13
CL,"Colgate-Palmolive Company",90.52,-0.3,-0.33%,91.61,90.28,4396300,2025-03-13
CMCSA,"Comcast Corp A",34.7,-0.49,-1.39%,35.92,34.66,32055701,2025-03-13
COF,"Capital One Financial Corp",166.12,-4.33,-2.54%,171.6968,164.27,3388400,2025-03-13
COP,Conocophillips,96.19,-1.56,-1.60%,99.37,96.14,11354700,2025-03-13
COST,"Costco Wholesale",890.62,-36.46,-3.93%,923.5,887.47,3447200,2025-03-13
CRM,"Salesforce Inc",271.74,-12.84,-4.51%,282.555,269.75,9494500,2025-03-13
CSCO,"Cisco Systems Inc",59.67,-0.79,-1.31%,60.49,59.23,16463301,2025-03-13
CVS,"CVS Corp",65.75,0.91,+1.40%,67.04,64.4,7690100,2025-03-13
CVX,"Chevron Corp",153.61,0.94000000000003,+0.62%,154.43,151.92,9022700,2025-03-13
DE,"Deere & Company",467.09,-4.28,-0.91%,480,465.5,1314600,2025-03-13
DHR,"Danaher Corp",204.09,-0.87,-0.42%,206.82,203.2158,2456300,2025-03-13
DIS,"Walt Disney Company",96.87,-1.89,-1.91%,98.65,95.925,11059400,2025-03-13
DOW,"Dow Inc",36.23,0.48,+1.34%,37.2,35.62,7958400,2025-03-13
DUK,"Duke Energy Corp",118.21,1.57,+1.35%,118.34,116.37,5370300,2025-03-13
EMR,"Emerson Electric Company",109.2,-1.64,-1.48%,111.58,108.68,2256800,2025-03-13
F,"Ford Motor Company",9.53,-0.06,-0.63%,9.95,9.5,137747600,2025-03-13
FDX,"Fedex Corp",240.98,-2.53,-1.04%,246.21,239.7,1565400,2025-03-13
GD,"General Dynamics Corp",261.16,1.15,+0.44%,263.175,258.65,1044600,2025-03-13
GE,"GE Aerospace",192.42,-2.58,-1.32%,195.6233,191.67,3837200,2025-03-13
GILD,"Gilead Sciences Inc",113.35,-0.64,-0.56%,115.46,112.7,6939100,2025-03-13
GM,"General Motors Company",47.11,-0.79,-1.65%,49.27,46.87,14189900,2025-03-13
